0.5883596178    18562.5
0.6656014904    20850
0.7407008741    22700
0.8310800498    24525
0.9479506185    26370
1.0768193651    27922
1.1983161945    29070
1.3837939534    30410
1.6650549531    31800
1.946640319     32740
2.3811442965    33655
2.9126326549    34290
3.6970654824    34800
4.2868951065    34987.5
4.8297935972    35102
5.7876198835    35175
7.3463468386    35050
8.9861037519    34725
10.5490727095   34285
13.2260016159   33450
16.5822270413   32795
20.5352502646   32472
25.7462680049   32475
